CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,ACUIFERO,SUBTIPO,LONGITUD,LATITUD,PERIODO,Alk,Cond,Hard,TDS,Fe,Mn,F,FC,NO3N,As,Cd,Cr,Hg,Pb
OCPYU6442,SAP NOCHACAN,PENÍNSULA DE YUCATÁN,YUCATÁN,CUZAMA,PENÍNSULA DE YUCATÁN,POZO,-89.33611111,20.74583333,2022,365.5,1186.0,379.6,724.0,0.025,0.0015,0.2,75.0,5.517,0.01,0.003,0.032,0.0005,0.005
OCPYU6444,SAP KANACHEN,PENÍNSULA DE YUCATÁN,YUCATÁN,KOPOMÁ,PENÍNSULA DE YUCATÁN,POZO,-89.88666667,20.605,2022,374.1,2566.0,747.5,1594.0,0.025,0.0015,0.49,1.1,8.32,0.01,0.003,0.011,0.0005,0.005
OCPYU6445,SAP KIKTEIL,PENÍNSULA DE YUCATÁN,YUCATÁN,MERIDA,PENÍNSULA DE YUCATÁN,POZO,-89.69222222,21.12916667,2022,377.6,2360.0,457.4,1420.0,0.04,0.006,0.37,1100.0,1.943,0.01,0.003,0.016,0.0005,0.005
OCPYU6446,SAP OXTAPACAB,PENÍNSULA DE YUCATÁN,YUCATÁN,TIMUCUY,PENÍNSULA DE YUCATÁN,POZO,-89.50416667,20.77111111,2022,362.9,1001.0,491.6,823.3,0.025,0.0015,0.24,1.1,7.297,0.01,0.003,0.005,0.0005,0.005
OCPYU6448,SAP ABALA,PENÍNSULA DE YUCATÁN,YUCATÁN,ABALA,PENÍNSULA DE YUCATÁN,POZO,-89.67972222,20.64666667,2022,347.5,1957.0,666.2,1238.0,0.054,0.002,0.48,52.0,3.494,0.01,0.003,0.02,0.0005,0.005
OCPYU6449,SAP SAN NICOLAS,PENÍNSULA DE YUCATÁN,YUCATÁN,SUMA,PENÍNSULA DE YUCATÁN,POZO,-89.16,21.10611111,2022,354.6,1262.0,408.3,590.0,0.025,0.002,0.2,1.1,8.685,0.01,0.003,0.005,0.0005,0.005
OCPYU6451,SAP TOHOPKU,PENÍNSULA DE YUCATÁN,YUCATÁN,TEKAL DE VENEGAS,PENÍNSULA DE YUCATÁN,POZO,-88.93198,21.0461,2022,342.4,851.0,363.6,448.0,0.025,0.0015,0.23,1.1,3.357,0.01,0.003,0.005,0.0005,0.005
OCPYU6452,SAP CHENCHE DE LAS TORRES,PENÍNSULA DE YUCATÁN,YUCATÁN,TEMAX,PENÍNSULA DE YUCATÁN,POZO,-88.98138889,21.12972222,2022,286.0,790.0,320.9,392.0,0.025,0.0015,0.2,1.1,5.254,0.01,0.003,0.005,0.0005,0.005
OCPYU6453,SAP SACOLA,PENÍNSULA DE YUCATÁN,YUCATÁN,MUXUPIP,PENÍNSULA DE YUCATÁN,POZO,-89.32583333,21.10138889,2022,340.4,1093.0,367.9,712.0,0.025,0.003,0.2,1100.0,6.453,0.01,0.003,0.012,0.0005,0.005
OCPYU6455,SAP MUXUPIP,PENÍNSULA DE YUCATÁN,YUCATÁN,MUXUPIP,PENÍNSULA DE YUCATÁN,POZO,-89.32972222,21.04194444,2022,350.6,556.0,451.6,396.0,0.025,0.0015,0.2,460.0,2.172,0.01,0.003,0.005,0.0005,0.005
OCPYU6460,SAP PARAISO,PENÍNSULA DE YUCATÁN,YUCATÁN,PROGRESO,PENÍNSULA DE YUCATÁN,POZO,-89.65055556,21.19305556,2022,357.1,1661.0,389.3,978.0,0.034,0.003,0.2,2400.0,0.837,0.01,0.003,0.016,0.0005,0.005
OCPYU6465,SAP SAN IGNACIO,PENÍNSULA DE YUCATÁN,YUCATÁN,PROGRESO,PENÍNSULA DE YUCATÁN,POZO,-89.66,21.15972222,2022,349.7,1838.0,395.1,1182.0,0.106,0.009,0.21,460.0,8.167,0.01,0.003,0.013,0.0005,0.005
OCPYU6469,SAP TAMANCHE,PENÍNSULA DE YUCATÁN,YUCATÁN,MERIDA,PENÍNSULA DE YUCATÁN,POZO,-89.64166667,21.13916667,2022,359.0,2108.0,451.6,1253.0,0.025,0.005,0.2,2400.0,3.282,0.01,0.003,0.007,0.0005,0.005
OCPYU6471,SAP KANTOYNA,PENÍNSULA DE YUCATÁN,YUCATÁN,CONKAL,PENÍNSULA DE YUCATÁN,POZO,-89.525,21.11027778,2022,340.4,1263.0,369.8,724.0,0.065,0.002,0.32,210.0,2.076,0.01,0.003,0.023,0.0005,0.005
OCPYU6472,SAP SAN ANTONIO MILLET,PENÍNSULA DE YUCATÁN,YUCATÁN,TIXKOKOB,PENÍNSULA DE YUCATÁN,POZO,-89.39611111,20.97277778,2022,343.6,1469.0,418.9,715.0,0.025,0.0015,0.2,1.1,4.278,0.01,0.003,0.005,0.0005,0.005
OCPYU6473,SAP TIKOPO,PENÍNSULA DE YUCATÁN,YUCATÁN,ACANCEH,PENÍNSULA DE YUCATÁN,POZO,-89.43944444,20.8891666,2022,327.4,1117.0,354.3,662.0,0.025,0.0015,0.2,460.0,4.861,0.01,0.003,0.008,0.0005,0.005
OCPYU6476,SAP TEPAKAN,PENÍNSULA DE YUCATÁN,YUCATÁN,TEPAKAN,PENÍNSULA DE YUCATÁN,POZO,-89.03888889,21.04861111,2022,277.8,922.0,331.1,474.0,0.025,0.0015,0.2,41.0,11.46,0.01,0.003,0.005,0.0005,0.005
OCPYU6477,SAP DZIUCHE,PENÍNSULA DE YUCATÁN,YUCATÁN,HOCTUN,PENÍNSULA DE YUCATÁN,POZO,-89.1965,20.911514,2022,340.3,1098.0,398.1,570.0,0.025,0.0015,0.23,1.1,2.982,0.01,0.003,0.005,0.0005,0.005
OCPYU6478,AGUAS ARRIBA DE GP-088,PENÍNSULA DE YUCATÁN,YUCATÁN,KINCHIL,PENÍNSULA DE YUCATÁN,POZO,-89.9984,20.9023,2022,356.0,2110.0,531.0,1055.0,0.025,0.0015,0.31,1354.0,3.94,0.01,0.003,0.005,0.0005,0.005
OCPYU6479,SAP SAN ANTONIO TEDZIDZ,PENÍNSULA DE YUCATÁN,YUCATÁN,SAMAHIL,PENÍNSULA DE YUCATÁN,POZO,-89.97444444,20.83694444,2022,378.8,2370.0,562.4,1207.0,0.027,0.0015,0.35,84.0,4.113,0.01,0.003,0.005,0.0005,0.005
OCPYU6498,AGUAS ARRIBA DE GP-104,PENÍNSULA DE YUCATÁN,YUCATÁN,HUNUCMA,PENÍNSULA DE YUCATÁN,POZO,-89.8333,21.0344,2022,361.2,1783.0,468.1,883.0,0.025,0.0015,0.24,2755.0,7.81,0.01,0.003,0.005,0.0005,0.005
OCPYU6499,SAP SAN ANTONIO CHEL,PENÍNSULA DE YUCATÁN,YUCATÁN,HUNUCMA,PENÍNSULA DE YUCATÁN,POZO,-89.81416667,20.99611111,2022,356.0,1345.0,416.9,660.0,0.025,0.0015,0.24,158.0,6.418,0.01,0.003,0.005,0.0005,0.005
OCPYU6500,SAP SAN ANTONIO TZACALA,PENÍNSULA DE YUCATÁN,YUCATÁN,MERIDA,PENÍNSULA DE YUCATÁN,POZO,-89.65388889,20.75,2022,362.9,1333.0,465.1,716.7,0.041,0.0015,0.24,1.1,7.518,0.01,0.003,0.02,0.0005,0.005
OCPYU6501,SAP UAYALCEH,PENÍNSULA DE YUCATÁN,YUCATÁN,ABALA,PENÍNSULA DE YUCATÁN,POZO,-89.59388889,20.69444444,2022,373.1,1802.0,524.0,1010.0,0.025,0.0015,0.3,1.1,5.205,0.01,0.003,0.017,0.0005,0.005
OCPYU6512,SAP HOLACTUN,PENÍNSULA DE YUCATÁN,YUCATÁN,TAHMEK,PENÍNSULA DE YUCATÁN,POZO,-89.3283,20.8764,2022,263.2,789.0,280.3,434.0,0.054,0.0015,0.96,150.0,6.265,0.01,0.003,0.01,0.0005,0.005
OCPYU6513,SAP PEBA,PENÍNSULA DE YUCATÁN,YUCATÁN,ABALA,PENÍNSULA DE YUCATÁN,POZO,-89.6859,20.7188,2022,377.2,2038.0,570.8,1170.0,0.025,0.0015,0.33,1.1,4.507,0.01,0.003,0.022,0.0005,0.005
OCPYU6514,SAP TIXACACLPUYUL,PENÍNSULA DE YUCATÁN,YUCATÁN,YAXCABA,PENÍNSULA DE YUCATÁN,POZO,-88.91846,20.501411,2022,276.3,694.0,306.8,330.0,0.025,0.0015,0.2,3076.0,6.412,0.01,0.003,0.005,0.0005,0.005
OCPYU6515,HACIENDA KANAN,PENÍNSULA DE YUCATÁN,YUCATÁN,IZAMAL,PENÍNSULA DE YUCATÁN,POZO,-88.9706,20.9829,2022,308.5,789.0,357.5,400.0,0.025,0.0015,0.26,1.1,5.311,0.01,0.003,0.005,0.0005,0.005
OCRBR4989M1,"ACUIFERO MINA NL POZO NO, 10 SADM",RÍO BRAVO,NUEVO LEÓN,MINA,CAMPO MINA,POZO,-100.53748,26.01722,2022,216.0,1063.0,370.0,702.0,0.044,0.003,0.48,3.0,4.32,0.01,0.003,0.005,0.0005,0.005
OCRBR5001M1,POZO DE AGUA Y DRENAJE NO. 9 CERRITOS,RÍO BRAVO,NUEVO LEÓN,SALINAS VICTORIA,CAMPO CERRITOS,POZO,-100.12972,26.05851,2022,361.0,748.0,361.0,460.0,0.063,0.003,0.2,3.0,7.506,0.01,0.003,0.005,0.0045,0.005
OCRBR5022M2,POZO 1A,RÍO BRAVO,NUEVO LEÓN,ACUÍFERO AREA METROPOLITANA DE MONTERREY,AREA METROPOLITANA DE MONTERREY,POZO,-100.310474,25.671256,2022,265.0,1951.0,375.0,579.0,0.052,0.006,0.2,1.1,6.497,0.01,0.003,0.005,0.0005,0.005
P19C-6+350,P19C-6+350,RÍO BRAVO,COAHUILA DE ZARAGOZA,ACUÑA ,PRESA LA AMISTAD,POZO,-101.07129,29.44941,2022,160.1,921.0,373.7,583.7,3.432,0.074,1.32,1.1,2.036,0.01,0.003,0.005,0.0005,0.072
PLA16M-6+950,PLA16M-6+950,RÍO BRAVO,COAHUILA DE ZARAGOZA,ACUÑA ,PRESA LA AMISTAD,POZO,-101.07745,29.44932,2022,134.6,1024.0,300.6,626.3,4.735,0.178,1.15,1.1,0.194,0.01,0.003,0.005,0.0005,0.005
PLA8L-7+350,PLA8L-7+350,RÍO BRAVO,COAHUILA DE ZARAGOZA,ACUÑA ,PRESA LA AMISTAD,POZO,-101.08099,29.44797,2022,192.8,1239.0,418.4,788.3,2.907,0.102,1.43,14136.0,0.751,0.01,0.003,0.005,0.0005,0.005
PORTEZUELO (SAN PEDRO),PORTEZUELO (SAN PEDRO),CUENCAS CENTRALES DEL NORTE,SAN LUIS POTOSÍ,CERRO DE SAN PEDRO,SAN LUIS POTOSI,POZO,-100.8505278,22.1695556,2022,118.0,301.0,77.0,206.0,0.053,0.004,0.44,1.1,1.0,0.01,0.003,0.005,0.0005,0.007037
PR-01,PR-01,CUENCAS CENTRALES DEL NORTE,SAN LUIS POTOSÍ,CERRO DE SAN PEDRO,SAN LUIS POTOSI,POZO,-100.819194,22.191056,2022,128.0,682.0,173.0,444.0,0.097,0.006,0.49,43.0,4.842,0.01,0.003,0.006,0.0005,0.005
SC-20,PM SUB 4,FRONTERA SUR,TABASCO,PARAÍSO,CENTLA,POZO,-93.2166999747729,18.4249900810305,2022,610.95,1894.5,614.75,1059.15,0.74,0.5755,0.445,428.0,0.031,0.01,0.003,0.005,0.0005,0.005
SC-21,PM SUB 8,FRONTERA SUR,TABASCO,PARAÍSO,CENTLA,POZO,-93.1862500154715,18.4133001002166,2022,364.9,1039.5,371.5,572.3,0.97175,1.274875,0.37,17697.5,0.0615,0.01,0.003,0.005,0.0005,0.005
SC-22,PM SUB 9,FRONTERA SUR,TABASCO,PARAÍSO,CENTLA,POZO,-93.2166100211237,18.4166700762714,2022,500.3,1125.5,47.8,636.6,7.269,0.135,0.685,1694.5,0.129,0.01,0.003,0.005,0.0005,0.005
SPMW-01,SPMW-01,CUENCAS CENTRALES DEL NORTE,SAN LUIS POTOSÍ,CERRO DE SAN PEDRO,SAN LUIS POTOSI,POZO,-100.817754,22.191332,2022,123.0,964.0,289.0,667.0,0.082,0.026,0.71,15.0,4.095,0.01,0.003,0.005,0.0005,0.005
SPMW-03,SPMW-03,CUENCAS CENTRALES DEL NORTE,SAN LUIS POTOSÍ,CERRO DE SAN PEDRO,SAN LUIS POTOSI,POZO,-100.817889,22.191306,2022,147.0,763.0,223.0,515.0,0.07,0.003,0.53,1.1,7.578,0.01,0.003,0.005,0.0005,0.005
SPMW-04,SPMW-04,CUENCAS CENTRALES DEL NORTE,SAN LUIS POTOSÍ,CERRO DE SAN PEDRO,SAN LUIS POTOSI,POZO,-100.819874,22.191028,2022,140.0,606.0,164.0,329.0,0.064,0.004,0.59,1.1,5.57,0.01,0.003,0.007,0.0005,0.005
TOMA DOMICILIARIA ACONCHI,TOMA DOMICILIARIA ACONCHI,NOROESTE,SONORA,ACONCHI,RIO SONORA,TOMA DOMICILIARIA,-110.22702,29.82151,2022,306.1,1140.0,404.0,816.4,0.025,0.0015,0.47,1.1,5.164,0.01,0.003,0.005,0.0005,0.005
TOMA DOMICILIARIA BACANUCHI ESCUELA,TOMA DOMICILIARIA BACANUCHI ESCUELA,NOROESTE,SONORA,ARIZPE,RIO BACANUCHI,TOMA DOMICILIARIA,-110.23583,30.60567,2022,249.7,1100.0,522.0,838.2,0.025,0.0015,0.22,1.1,1.602,0.01,0.003,0.005,0.0005,0.005
TOMA DOMICILIARIA BANAMICHI,TOMA DOMICILIARIA BANAMICHI,NOROESTE,SONORA,BANAMICHI,RIO SONORA,TOMA DOMICILIARIA,-110.21764,30.0071,2022,232.1,704.0,90.0,464.4,0.025,0.0015,0.53,1.1,1.586,0.01,0.003,0.005,0.0005,0.005
TOMA DOMICILIARIA HUEPAC,TOMA DOMICILIARIA HUEPAC,NOROESTE,SONORA,HUEPAC,RIO SONORA,TOMA DOMICILIARIA,-110.21401,29.91108,2022,295.0,962.0,320.0,669.0,0.025,0.0015,0.55,10.0,3.665,0.01,0.003,0.005,0.0005,0.005
TOMA DOMICILIARIA LA CAPILLA,TOMA DOMICILIARIA LA CAPILLA,NOROESTE,SONORA,BAVIACORA,RIO SONORA,TOMA DOMICILIARIA,-110.14255,29.6718,2022,349.2,1294.0,526.1,926.0,0.025,0.0015,0.68,1.1,4.383,0.01,0.003,0.005,0.0005,0.005
TOMA DOMICILIARIA LA ESTANCIA,DOMICILIARIA LA ESTANCIA,NOROESTE,SONORA,ACONCHI,RIO SONORA,TOMA DOMICILIARIA,-110.21546,29.79699,2022,284.0,1084.0,356.0,763.8,0.025,0.0015,0.48,148.0,5.717,0.01,0.003,0.005,0.0005,0.005
TOMA DOMICILIARIA LA LABOR,TOMA DOMICILIARIA LA LABOR,NOROESTE,SONORA,BAVIACORA,RIO SONORA,TOMA DOMICILIARIA,-110.12917,29.62033,2022,311.6,1182.0,451.8,969.0,0.057,1.276,0.91,41.0,4.164,0.01,0.003,0.008,0.0005,0.005
TOMA DOMICILIARIA SAN JOSE,TOMA DOMICILIARIA SAN JOSE,NOROESTE,SONORA,BAVIACORA,RIO SONORA,TOMA DOMICILIARIA,-110.18541,29.74585,2022,325.8,1148.0,468.1,810.7,0.025,0.0015,0.47,20.0,4.95,0.01,0.003,0.005,0.0005,0.005
ZAPATILLA 1,ZAPATILLA 1,CUENCAS CENTRALES DEL NORTE,SAN LUIS POTOSÍ,SOLEDAD DE GRACIANO SANCHEZ,SAN LUIS POTOSI,POZO,-100.837639,22.186722,2022,100.0,372.0,109.0,265.0,0.113,0.009,0.23,1.1,5.292,0.01,0.003,0.005,0.0005,0.005
ZAPATILLA 2,ZAPATILLA 2,CUENCAS CENTRALES DEL NORTE,SAN LUIS POTOSÍ,SOLEDAD DE GRACIANO SANCHEZ,SAN LUIS POTOSI,POZO,-100.833083,22.188722,2022,90.0,561.0,154.0,388.0,0.268,0.019,0.77,1.1,5.822,0.01,0.003,0.005,0.0005,0.005
